Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Nala,https://www.crunchbase.com/funding_round/nala-money-series-a--178c8b85,"Hoboken, New Jersey, United States, North America",Nala,https://www.crunchbase.com/organization/nala-money,Series A,40000000,USD,40000000,2024-07-09,Yes,$10M to $50M,https://www.nala.com/,,5,11
Series A - Chainalysis,https://www.crunchbase.com/funding_round/chainalysis-series-a--a11acfb9,"New York, New York, United States, North America",Chainalysis,https://www.crunchbase.com/organization/chainalysis,Series A,16000000,USD,16000000,2018-04-05,Yes,$100M to $500M,https://chainalysis.com,,2,5
Series A - Kalshi,https://www.crunchbase.com/funding_round/kalshi-series-a--5cf41d0b,"New York, New York, United States, North America",Kalshi,https://www.crunchbase.com/organization/kalshi,Series A,30000000,USD,30000000,2021-02-17,Yes,,https://kalshi.com,"Hispanic / Latine Founded, Women Founded",1,7
Series A - XION,https://www.crunchbase.com/funding_round/xion-5b4b-series-a--caafb6ec,"New York, New York, United States, North America",XION,https://www.crunchbase.com/organization/xion-5b4b,Series A,25000000,USD,25000000,2024-04-01,Yes,,https://xion.burnt.com/,,,19
Series A - Truewind,https://www.crunchbase.com/funding_round/truewind-69f1-series-a--8da3b316,"San Francisco, California, United States, North America",Truewind,https://www.crunchbase.com/organization/truewind-69f1,Series A,13000000,USD,13000000,2024-12-11,Yes,,https://www.truewind.ai,,,11
Series A - Macro,https://www.crunchbase.com/funding_round/macro-0331-series-a--ce317255,"New York, New York, United States, North America",Macro,https://www.crunchbase.com/organization/macro-0331,Series A,12000000,USD,12000000,2024-11-12,Yes,$1M to $10M,https://macro.com/,,,5
Series A - Vooma,https://www.crunchbase.com/funding_round/vooma-ed49-series-a--baece21b,"San Francisco, California, United States, North America",Vooma,https://www.crunchbase.com/organization/vooma-ed49,Series A,14224988,USD,14224988,2024-12-02,Yes,$1M to $10M,https://www.vooma.com,,2,8
Series A - Digits,https://www.crunchbase.com/funding_round/digits-series-a--3a89d0c2,"San Francisco, California, United States, North America",Digits,https://www.crunchbase.com/organization/digits,Series A,10500000,USD,10500000,2019-11-06,Yes,$10M to $50M,https://www.digits.com,,2,43
Series A - Marco,https://www.crunchbase.com/funding_round/marco-capital-series-a--8ae5b177,"Miami, Florida, United States, North America",Marco,https://www.crunchbase.com/organization/marco-capital,Series A,12000000,USD,12000000,2024-03-19,Yes,,http://www.marcofi.com,Hispanic / Latine Founded,1,9
Series A - Tabs,https://www.crunchbase.com/funding_round/tabs-03d6-series-a--7bdf7659,"New York, New York, United States, North America",Tabs,https://www.crunchbase.com/organization/tabs-03d6,Series A,25000000,USD,25000000,2024-10-30,Yes,,https://tabs.inc/,,5,11
Series A - Spade,https://www.crunchbase.com/funding_round/spade-series-a--453bccfc,"New York, New York, United States, North America",Spade,https://www.crunchbase.com/organization/spade,Series A,10000000,USD,10000000,2023-12-06,Yes,,https://www.spade.com,Women Founded,3,6
Series A - Vero Technologies,https://www.crunchbase.com/funding_round/vero-technologies-series-a--1767b6de,"New York, New York, United States, North America",Vero Technologies,https://www.crunchbase.com/organization/vero-technologies,Series A,8500000,USD,8500000,2023-09-19,Yes,$1M to $10M,https://www.vero-technologies.com/,,1,6
Series A - Copilot,https://www.crunchbase.com/funding_round/copilot-7808-series-a--40b81265,"New York, New York, United States, North America",Copilot,https://www.crunchbase.com/organization/copilot-7808,Series A,6000000,USD,6000000,2024-03-21,Yes,$1M to $10M,https://copilot.money,Women Founded,1,2
Series A - Andalusia Labs,https://www.crunchbase.com/funding_round/risk-harbor-series-a--e6dddb98,"San Francisco, California, United States, North America",Andalusia Labs,https://www.crunchbase.com/organization/risk-harbor,Series A,48000000,USD,48000000,2023-12-13,Yes,$1M to $10M,https://andalusia-labs.com,,1,9
Series A - Every,https://www.crunchbase.com/funding_round/every-inc-series-a--c2402fea,"San Francisco, California, United States, North America",Every,https://www.crunchbase.com/organization/every-inc,Series A,22500000,USD,22500000,2024-09-05,Yes,,https://every.io/,,2,5
Series A - Everclear,https://www.crunchbase.com/funding_round/connext-inc-series-a--f08d4a5b,"San Francisco, California, United States, North America",Everclear,https://www.crunchbase.com/organization/connext-inc,Series A,7500000,USD,7500000,2023-06-14,Yes,$1M to $10M,https://www.everclear.org/,"South Asian Led, Women Founded",,15
Series A - Fruitful,https://www.crunchbase.com/funding_round/fruitful-9a26-series-a--5d459761,"New York, New York, United States, North America",Fruitful,https://www.crunchbase.com/organization/fruitful-9a26,Series A,25000000,USD,25000000,2022-06-08,Yes,$1M to $10M,https://www.fruitful.com,,2,10
Series A - Good Driver Mutuality,https://www.crunchbase.com/funding_round/good-driver-mutuality-series-a--1702ad93,"El Monte, California, United States, North America",Good Driver Mutuality,https://www.crunchbase.com/organization/good-driver-mutuality,Series A,40400000,USD,40400000,2021-04-25,Yes,,https://www.gooddriver.ai/,,,2
Series A - Stardust,https://www.crunchbase.com/funding_round/stardust-6bcd-series-a--cadb45c8,"Palo Alto, California, United States, North America",Stardust,https://www.crunchbase.com/organization/stardust-6bcd,Series A,30000000,USD,30000000,2022-10-18,Yes,,http://stardust.gg,,2,7
Series A - Frec,https://www.crunchbase.com/funding_round/frec-series-a--d37c2543,"San Francisco, California, United States, North America",Frec,https://www.crunchbase.com/organization/frec,Series A,26400000,USD,26400000,2023-10-03,Yes,$1M to $10M,https://frec.com,,1,3
Series A - Xclaim,https://www.crunchbase.com/funding_round/xclaim-series-a--25123043,"Los Angeles, California, United States, North America",Xclaim,https://www.crunchbase.com/organization/xclaim,Series A,7000000,USD,7000000,2023-04-11,Yes,$1M to $10M,http://www.x-claim.com,,2,6
Series A - Juvo,https://www.crunchbase.com/funding_round/juvo-series-a--0a3068ba,"San Francisco, California, United States, North America",Juvo,https://www.crunchbase.com/organization/juvo,Series A,14000000,USD,14000000,2016-09-09,Yes,$1M to $10M,https://www.juvo.com/,,2,24
Series A - Datricks,https://www.crunchbase.com/funding_round/datricks-series-a--b99f8aeb,"New York, New York, United States, North America",Datricks,https://www.crunchbase.com/organization/datricks,Series A,15000000,USD,15000000,2024-09-11,Yes,$10M to $50M,https://www.datricks.com,,2,3
Series A - CoinTracker,https://www.crunchbase.com/funding_round/cointracker-series-a--c87195f5,"San Francisco, California, United States, North America",CoinTracker,https://www.crunchbase.com/organization/cointracker,Series A,100000000,USD,100000000,2022-01-27,Yes,Less than $1M,https://cointracker.io,,5,13
Series A - Goalsetter,https://www.crunchbase.com/funding_round/goalsetter-series-a--7cce9d85,"Brooklyn, New York, United States, North America",Goalsetter,https://www.crunchbase.com/organization/goalsetter,Series A,9600000,USD,9600000,2024-03-25,Yes,$1M to $10M,http://www.goalsetter.co,"Black Founded, Women Founded, Women Led",3,9
Series A - Nirvana Health,https://www.crunchbase.com/funding_round/nirvana-health-series-a--892fd9a8,"New York, New York, United States, North America",Nirvana Health,https://www.crunchbase.com/organization/nirvana-health,Series A,24200000,USD,24200000,2024-09-12,Yes,$1M to $10M,https://www.meetnirvana.com,,3,4
Series A - Canopy,https://www.crunchbase.com/funding_round/canopy-c3b1-series-a--178bd900,"San Francisco, California, United States, North America",Canopy,https://www.crunchbase.com/organization/canopy-c3b1,Series A,15200000,USD,15200000,2023-10-10,Yes,$10M to $50M,https://canopyservicing.com/,,,2
Series A - FlexFactor,https://www.crunchbase.com/funding_round/flexfactor-series-a--d6cbc07d,"Miami, Florida, United States, North America",FlexFactor,https://www.crunchbase.com/organization/flexfactor,Series A,16800000,USD,16800000,2024-10-10,Yes,,https://www.flexfactor.io,,1,1
Series A - Backer,https://www.crunchbase.com/funding_round/backerteam-series-a--2e39f533,"San Francisco, California, United States, North America",Backer,https://www.crunchbase.com/organization/backerteam,Series A,9500000,USD,9500000,2023-12-18,Yes,$1M to $10M,https://backer.com,Women Founded,1,1
Series A - TigerBeetle,https://www.crunchbase.com/funding_round/tigerbeetle-series-a--86669330,"San Francisco, California, United States, North America",TigerBeetle,https://www.crunchbase.com/organization/tigerbeetle,Series A,23999968,USD,23999968,2024-06-11,Yes,$1M to $10M,https://tigerbeetle.com/,,,
Series A - Burnt,https://www.crunchbase.com/funding_round/burnt-finance-series-a--21e980aa,"New York, New York, United States, North America",Burnt,https://www.crunchbase.com/organization/burnt-finance,Series A,25000000,USD,25000000,2024-04-01,Yes,$10M to $50M,https://burnt.com,,,7
Series A - RemoFirst,https://www.crunchbase.com/funding_round/remoteam-series-a--976ebf8b,"San Francisco, California, United States, North America",RemoFirst,https://www.crunchbase.com/organization/remoteam,Series A,25000000,USD,25000000,2024-03-06,Yes,$1M to $10M,https://remofirst.com/,,3,4
Series A - Membrane Labs,https://www.crunchbase.com/funding_round/membrane-labs-series-a--e39045d3,"New York, New York, United States, North America",Membrane Labs,https://www.crunchbase.com/organization/membrane-labs,Series A,20000000,USD,20000000,2023-10-11,Yes,$1M to $10M,https://membranelabs.com ,,,13
