city,state,metro_region
San Francisco,California,SFBA
Menlo Park,California,SFBA
Cupertino,California,SFBA
San Mateo,California,SFBA
San Jose,California,SFBA
Sunnyvale,California,SFBA
Fremont,California,SFBA
New York,New York,GNYA
Palo Alto,California,SFBA
Mountain View,California,SFBA
Alameda,California,SFBA
Florida,New York,GNYA
Miami,Florida,GMA
Los Angeles,California,GLA
Brooklyn,New York,GNYA
Red Bank,New Jersey,GNYA
Oakland,California,SFBA
Costa Mesa,California,GLA
Walnut,California,SFBA
Santa Clara,California,SFBA
Holmdel,New Jersey,GNYA
Manhattan,New York,GNYA
Chappaqua,New York,GNYA
Los Gatos,California,SFBA
Berkeley,California,SFBA
South San Francisco,California,SFBA
Los Altos,California,SFBA
Staten Island,New York,GNYA
Redwood City,California,SFBA
Newport Beach,California,GLA
Venice,California,GLA
Irvine,California,GLA
San Rafael,California,SFBA
Burlingame,California,SFBA
Vallejo,California,SFBA
Iselin,New Jersey,GNYA
Pompton Lakes,New Jersey,GNYA
Milpitas,California,SFBA
Livermore,California,SFBA
West Hollywood,California,GLA
Jersey City,New Jersey,GNYA
Livingston,New Jersey,GNYA
Emeryville,California,SFBA
Sausalito,California,SFBA
Ojai,California,GLA
Sun Valley,California,GLA
Pasadena,California,GLA
Fort Lauderdale,Florida,GMA
Santa Monica,California,GLA
San Carlos,California,SFBA
Beverly Hills,California,GLA
Piedmont,California,SFBA
Mill Valley,California,SFBA
South Pasadena,California,GLA
Boulder Creek,California,SFBA
Long Island City,New York,GNYA
Santa Cruz,California,SFBA
Arcadia,California,GLA
San Bruno,California,SFBA
Miami Lakes,Florida,GMA
Gardena,California,GLA
Covina,California,GLA
Weston,Florida,GMA
Glendale,California,GLA
New Milford,New Jersey,GNYA
Franklin Lakes,New Jersey,GNYA
Aliso Viejo,California,GLA
Larkspur,California,SFBA
Boca Raton,Florida,GMA
Melville,New York,GNYA
Laguna Niguel,California,GLA
Monmouth Junction,New Jersey,GNYA
Manalapan,New Jersey,GNYA
Anaheim,California,GLA
Culver City,California,GLA
Queens,New York,GNYA
Montclair,New Jersey,GNYA
Torrance,California,GLA
San Ramon,California,SFBA
New City,New York,GNYA
Dublin,California,SFBA
Laguna Beach,California,GLA
North Hollywood,California,GLA
Castro Valley,California,SFBA
Walnut Creek,California,SFBA
Stanford,California,SFBA
El Segundo,California,GLA
Skillman,New Jersey,GNYA
Los Alamitos,California,GLA
Topanga,California,GLA
Pleasanton,California,SFBA
Danville,California,SFBA
Teaneck,New Jersey,GNYA
San Anselmo,California,SFBA
Hoboken,New Jersey,GNYA
Sonoma,California,SFBA
Newark,California,SFBA
Long Beach,California,GLA
Ridgewood,New Jersey,GNYA
Purdys,New York,GNYA
Agoura Hills,California,GLA
Burbank,California,GLA
