firm_id,sector,seed_date,series_a_date,end_date,time_to_series_a_months,event_series_a,metro_region,seed_amount_usd,num_partner_investors,num_investors_total,seed_year
10by10.io,AI,2017-08-22,,2024-12-23,88.04204993429697,0,SFBA,120000,,1.0,2017
2B0 (To Be Zero),AI,2020-07-12,,2024-12-23,53.383705650459916,0,SFBA,250000,,,2020
310.ai,AI,2023-01-01,,2024-12-23,23.71879106438896,0,SFBA,3700000,1.0,2.0,2023
3Analytics,AI,2021-02-25,,2024-12-23,45.893561103810775,0,SFBA,474996,,,2021
3DLOOK,AI,2018-07-10,2021-03-16,2021-03-16,32.19448094612352,1,SFBA,1000000,,2.0,2018
3TEN8,AI,2017-12-15,,2024-12-23,84.26412614980289,0,SFBA,2000000,,5.0,2017
6D.ai,AI,2019-06-26,,2024-12-23,65.93298291721419,0,SFBA,3000000,1.0,2.0,2019
6d bytes,AI,2017-06-12,,2024-12-23,90.37450722733246,0,SFBA,3000000,3.0,6.0,2017
6figr.com,AI,2018-10-05,,2024-12-23,74.60578186596584,0,SFBA,500000,,1.0,2018
7 Chord,AI,2018-07-01,,2024-12-23,77.75952693823916,0,GNYA,575000,,,2018
8Flow,AI,2023-06-01,,2024-12-23,18.758212877792378,0,SFBA,6600000,,11.0,2023
AEYE Health,AI,2022-01-01,,2024-12-23,35.709592641261494,0,GNYA,10000000,,,2022
AGI7,AI,2024-05-01,,2024-12-23,7.752956636005256,0,SFBA,3000000,1.0,1.0,2024
AI Squared,AI,2022-06-27,2024-04-17,2024-04-17,21.681997371879106,1,SFBA,6000000,3.0,2.0,2022
AI or Not,AI,2024-12-05,,2024-12-23,0.5913272010512484,0,SFBA,5655000,2.0,3.0,2024
AI.Reverie,AI,2020-04-14,,2024-12-23,56.30749014454665,0,GNYA,5600000,2.0,7.0,2020
AKASA,AI,2019-01-01,2020-06-10,2020-06-10,17.279894875164256,1,SFBA,5000000,,4.0,2019
AMAI,AI,2021-05-15,,2024-12-23,43.29829172141918,0,SFBA,600000,,3.0,2021
APOSTLE INFOSOFT,AI,2023-02-03,,2024-12-23,22.634691195795007,0,GNYA,2000000,,,2023
ARQA,AI,2022-08-18,,2024-12-23,28.18659658344284,0,GMA,4695000,,,2022
ARwall,AI,2018-06-01,,2024-12-23,78.74507227332457,0,GLA,2000000,,5.0,2018
Aadi Space,AI,2024-12-03,,2024-12-23,0.657030223390276,0,SFBA,1000000,,1.0,2024
Abacus.AI,AI,2019-06-12,2020-07-14,2020-07-14,13.074901445466491,1,SFBA,5250000,,9.0,2019
Accern,AI,2017-05-15,2020-03-10,2020-03-10,33.83705650459921,1,GNYA,1250000,1.0,9.0,2017
Accrualify,AI,2017-05-09,2018-09-12,2018-09-12,16.130091984231274,1,SFBA,600000,1.0,2.0,2017
AccuLine,AI,2024-05-01,,2024-12-23,7.752956636005256,0,GMA,3500000,,3.0,2024
ActZero.ai,AI,2021-03-09,,2024-12-23,45.499342969776606,0,SFBA,40000000,1.0,1.0,2021
Activeloop,AI,2021-11-02,2024-03-26,2024-03-26,28.74507227332457,1,SFBA,5000000,1.0,8.0,2021
Actively AI,AI,2023-01-01,,2024-12-23,23.71879106438896,0,GNYA,5000000,,5.0,2023
Actuate,AI,2019-07-01,2021-04-29,2021-04-29,21.944809461235216,1,GNYA,2200000,,3.0,2019
Adext AI,AI,2019-04-15,,2024-12-23,68.29829172141918,0,SFBA,8000000,,7.0,2019
Adrenaline,AI,2024-02-23,,2024-12-23,9.986859395532194,0,GNYA,2400000,,3.0,2024
Advanced Training Athletic Club,AI,2018-09-04,,2024-12-23,75.62417871222075,0,GNYA,35000,,,2018
Afresh,AI,2018-03-04,2019-04-30,2019-04-30,13.863337713534822,1,SFBA,1650000,,2.0,2018
AgShift,AI,2018-03-18,,2024-12-23,81.2089356110381,0,GLA,1500000,1.0,1.0,2018
Agamon Health,AI,2020-06-22,,2024-12-23,54.040735873850196,0,GNYA,4000000,1.0,4.0,2020
Agara,AI,2017-10-01,,2024-12-23,86.72798948751642,0,SFBA,500000,2.0,1.0,2017
Agent.ai,AI,2017-02-08,,2024-12-23,94.44809461235216,0,SFBA,2700000,,,2017
Agile Stacks,AI,2016-12-29,2019-02-07,2019-02-07,25.29566360052562,1,SFBA,2420000,1.0,1.0,2016
Agno,AI,2024-08-29,,2024-12-23,3.8107752956636003,0,GNYA,5404992,,3.0,2024
Agolo,AI,2017-05-03,,2024-12-23,91.688567674113,0,GNYA,3500000,1.0,5.0,2017
Ahura AI,AI,2021-11-04,,2024-12-23,37.614980289093296,0,SFBA,3000000,2.0,3.0,2021
Ai4,AI,2020-01-24,,2024-12-23,58.96846254927726,0,GNYA,250454,,,2020
Aidaptive,AI,2022-04-21,,2024-12-23,32.09592641261498,0,SFBA,16000000,1.0,2.0,2022
Aiera,AI,2018-12-13,2020-02-12,2020-02-12,13.994743758212877,1,GNYA,3500000,1.0,5.0,2018
Airbyte,AI,2021-03-02,2021-05-25,2021-05-25,2.759526938239159,1,SFBA,5200000,1.0,12.0,2021
Airtrain AI,AI,2022-11-17,,2024-12-23,25.19710906701708,0,SFBA,3200000,1.0,9.0,2022
Airy,AI,2020-02-27,,2024-12-23,57.85151116951379,0,SFBA,6900000,,3.0,2020
Akila Labs,AI,2019-11-07,,2024-12-23,61.530880420499344,0,GNYA,205000,,2.0,2019
Aknext,AI,2023-02-06,2024-03-13,2024-03-13,13.173455978975033,1,GNYA,78000,,1.0,2023
Aktus AI,AI,2024-02-01,,2024-12-23,10.709592641261498,0,SFBA,3000000,,,2024
Alaffia Health,AI,2022-02-09,,2024-12-23,34.42838370565046,0,GNYA,5000000,2.0,7.0,2022
Alan AI,AI,2019-12-01,,2024-12-23,60.74244415243101,0,SFBA,4500000,,1.0,2019
Alcatraz AI,AI,2018-06-12,2022-09-13,2022-09-13,51.05124835742444,1,SFBA,4000000,2.0,3.0,2018
Alectio,AI,2021-02-04,,2024-12-23,46.583442838370566,0,SFBA,2600000,3.0,6.0,2021
Alex AI,AI,2024-05-15,,2024-12-23,7.293035479632063,0,SFBA,3000000,1.0,5.0,2024
Alexis,AI,2020-10-12,,2024-12-23,50.36136662286465,0,GNYA,2000000,,1.0,2020
Alhena AI,AI,2023-09-05,,2024-12-23,15.604467805519054,0,SFBA,4300000,,7.0,2023
Alife,AI,2021-05-03,2022-03-22,2022-03-22,10.611038107752956,1,SFBA,9500000,3.0,10.0,2021
Alkymi,AI,2020-02-26,2022-10-06,2022-10-06,31.307490144546648,1,GNYA,5000000,2.0,4.0,2020
Allium,AI,2022-07-15,2024-07-18,2024-07-18,24.113009198423125,1,GNYA,4250000,,3.0,2022
Allure Systems,AI,2017-09-05,,2024-12-23,87.58212877792378,0,GNYA,3000000,1.0,2.0,2017
AllyO,AI,2016-09-10,2017-11-30,2017-11-30,14.651773981603153,1,SFBA,3000000,1.0,2.0,2016
Alpha AI,AI,2022-03-01,,2024-12-23,33.77135348226018,0,GNYA,1000000,,,2022
Altcoin Advisors,AI,2018-01-20,,2024-12-23,83.08147174770039,0,GNYA,500000,,,2018
Ambient Scientific AI,AI,2021-12-31,,2024-12-23,35.74244415243101,0,SFBA,10000000,,,2021
Ambient.ai,AI,2017-09-08,,2024-12-23,87.48357424441524,0,SFBA,120000,,8.0,2017
Amigo AI,AI,2024-11-21,,2024-12-23,1.0512483574244416,0,GNYA,6300000,7.0,6.0,2024
Amira Learning,AI,2018-09-20,2019-09-11,2019-09-11,11.695137976346912,1,SFBA,3000000,,1.0,2018
Ampcontrol,AI,2020-11-01,2023-07-26,2023-07-26,32.75295663600526,1,GNYA,1100000,,2.0,2020
Amper Music,AI,2017-02-20,,2024-12-23,94.053876478318,0,GNYA,4000000,3.0,7.0,2017
AnChain.ai,AI,2018-08-01,2021-08-12,2021-08-12,36.366622864651774,1,SFBA,2000000,1.0,2.0,2018
Anakin,AI,2021-12-10,,2024-12-23,36.4323258869908,0,SFBA,1740000,,3.0,2021
Anari AI,AI,2021-04-13,,2024-12-23,44.349540078843624,0,SFBA,2000000,1.0,4.0,2021
Aniline,AI,2020-06-11,,2024-12-23,54.402102496714846,0,GNYA,3500000,,1.0,2020
Anon,AI,2023-11-22,,2024-12-23,13.042049934296976,0,SFBA,4600000,2.0,11.0,2023
Anryze,AI,2017-01-31,,2024-12-23,94.71090670170827,0,GNYA,130000,,1.0,2017
Ansaro,AI,2018-06-20,,2024-12-23,78.12089356110381,0,SFBA,3000000,,2.0,2018
Anterior,AI,2023-09-11,2024-06-08,2024-06-08,8.902759526938238,1,GNYA,3200000,,9.0,2023
AnthologyAI,AI,2022-11-30,2023-08-16,2023-08-16,8.508541392904073,1,GNYA,6000000,5.0,5.0,2022
Anysphere,AI,2023-07-20,2024-08-09,2024-08-09,12.680683311432325,1,SFBA,8000000,1.0,4.0,2023
Anytime AI,AI,2024-03-01,,2024-12-23,9.756898817345597,0,GNYA,1500000,,1.0,2024
Apella Technology,AI,2020-04-01,2021-12-20,2021-12-20,20.630749014454665,1,SFBA,3000000,,1.0,2020
ApertureData,AI,2024-10-10,,2024-12-23,2.431011826544021,0,SFBA,5250000,1.0,3.0,2024
Apetab,AI,2018-06-06,,2024-12-23,78.580814717477,0,GNYA,1000000,,,2018
Apical Technology,AI,2018-02-08,2024-10-01,2024-10-01,79.73061760840999,1,SFBA,1000000,,1.0,2018
Aporia,AI,2021-04-06,2022-02-22,2022-02-22,10.578186596583443,1,SFBA,5000000,2.0,5.0,2021
AppliedXL,AI,2021-04-21,,2024-12-23,44.086727989487514,0,GNYA,1500000,1.0,5.0,2021
Apprente,AI,2018-01-22,,2024-12-23,83.01576872536137,0,SFBA,4750000,2.0,14.0,2018
Apres,AI,2021-01-25,,2024-12-23,46.9119579500657,0,SFBA,1663411,2.0,3.0,2021
AptEdge,AI,2019-01-15,,2024-12-23,71.25492772667542,0,SFBA,1900000,2.0,3.0,2019
Aptivio,AI,2020-05-12,2024-08-30,2024-08-30,51.60972404730617,1,GNYA,1500000,,4.0,2020
Aptology,AI,2019-01-30,,2024-12-23,70.76215505913272,0,SFBA,8400000,2.0,4.0,2019
Aquarium,AI,2020-08-22,,2024-12-23,52.03679369250985,0,SFBA,125000,1.0,2.0,2020
Arc Web Solutions,AI,2023-06-12,2023-12-06,2023-12-06,5.814717477003942,1,GLA,110000,,,2023
Arcanna.Ai,AI,2023-12-19,,2024-12-23,12.155059132720105,0,GNYA,3500000,2.0,5.0,2023
Arcee.ai,AI,2024-01-24,2024-07-18,2024-07-18,5.781865965834428,1,SFBA,5500000,1.0,7.0,2024
Arch Systems,AI,2016-04-15,2022-07-14,2022-07-14,74.93429697766096,1,SFBA,2100000,4.0,7.0,2016
Archipelo,AI,2021-07-17,,2024-12-23,41.22864651773981,0,SFBA,8000000,,12.0,2021
Arcuity,AI,2018-02-01,,2024-12-23,82.68725361366623,0,GLA,315000,,1.0,2018
Aren,AI,2021-09-20,,2024-12-23,39.09329829172142,0,GNYA,2371996,1.0,9.0,2021
Argo,AI,2024-05-14,,2024-12-23,7.3258869908015765,0,GNYA,600000,,1.0,2024
Arize AI,AI,2020-02-12,2021-09-28,2021-09-28,19.513797634691194,1,SFBA,4024999,1.0,4.0,2020
Arkham Technologies,AI,2024-06-15,,2024-12-23,6.274638633377135,0,GMA,2500000,,6.0,2024
Arraiy,AI,2017-01-17,2018-03-27,2018-03-27,14.257555847568987,1,SFBA,3860000,1.0,5.0,2017
Arrikto,AI,2019-03-09,2020-11-16,2020-11-16,20.302233902759525,1,SFBA,3000000,,,2019
Arthur,AI,2019-12-11,2020-12-09,2020-12-09,11.957950065703022,1,GNYA,3300000,2.0,4.0,2019
Arundo Analytics,AI,2016-08-22,2018-01-25,2018-01-25,17.115637319316686,1,SFBA,5000000,,3.0,2016
Askdata,AI,2019-03-18,,2024-12-23,69.21813403416557,0,SFBA,150000,,2.0,2019
AssemblyAI,AI,2017-08-23,2022-03-04,2022-03-04,54.33639947437582,1,SFBA,120000,,1.0,2017
Astronomer,AI,2016-10-11,2020-05-18,2020-05-18,43.19973718791064,1,GNYA,1900000,1.0,5.0,2016
Atexto,AI,2019-12-02,,2024-12-23,60.709592641261494,0,SFBA,713000,8.0,11.0,2019
Athina AI,AI,2024-11-13,,2024-12-23,1.314060446780552,0,SFBA,2961259,,4.0,2024
Atmo,AI,2022-11-30,,2024-12-23,24.7700394218134,0,SFBA,11200000,,1.0,2022
Atomic AI,AI,2021-01-01,2023-01-25,2023-01-25,24.7700394218134,1,SFBA,7000000,,9.0,2021
Audioshake,AI,2021-10-18,,2024-12-23,38.17345597897503,0,SFBA,2000000,1.0,15.0,2021
Auditoria.AI,AI,2020-09-22,2021-03-31,2021-03-31,6.241787122207621,1,SFBA,6000000,2.0,4.0,2020
Augment CXM,AI,2017-09-14,,2024-12-23,87.28646517739816,0,SFBA,5000000,1.0,2.0,2017
Augmented Radar Imaging,AI,2018-08-22,,2024-12-23,76.05124835742444,0,SFBA,120000,,5.0,2018
Auk Industries,AI,2019-10-31,2022-12-01,2022-12-01,37.023653088042046,1,SFBA,1350000,,,2019
Auro Robotics,AI,2016-04-26,,2024-12-23,103.90932982917214,0,SFBA,2100000,,3.0,2016
Autify,AI,2019-10-01,2021-10-06,2021-10-06,24.178712220762154,1,SFBA,2500000,,6.0,2019
Autobound,AI,2023-02-23,,2024-12-23,21.97766097240473,0,SFBA,4000000,,1.0,2023
Automated Grading Services (AGS),AI,2021-06-25,,2024-12-23,41.95137976346912,0,GNYA,1000000,,,2021
Automation Hero,AI,2018-04-24,2019-03-13,2019-03-13,10.611038107752956,1,SFBA,4500000,2.0,4.0,2018
Avaamo,AI,2016-10-06,2018-05-08,2018-05-08,19.021024967148488,1,SFBA,3000000,2.0,6.0,2016
Avoma,AI,2020-01-07,2021-12-22,2021-12-22,23.488830486202364,1,SFBA,3000000,1.0,4.0,2020
Axiom Cloud,AI,2021-01-26,2021-10-11,2021-10-11,8.47568988173456,1,SFBA,1100000,2.0,4.0,2021
Ayyeka Technologies,AI,2016-03-02,,2024-12-23,105.71616294349539,0,GNYA,2560000,,3.0,2016
Azzurra Health,AI,2022-12-03,2023-07-28,2023-07-28,7.7858081471747695,1,GLA,90000,,,2022
BYO corp,AI,2024-01-17,,2024-12-23,11.202365308804204,0,GNYA,3000000,,,2024
"Baarb, Inc.",AI,2018-08-01,,2024-12-23,76.74113009198423,0,GLA,150000,6.0,1.0,2018
Bacca.ai,AI,2024-04-01,,2024-12-23,8.73850197109067,0,SFBA,3600000,7.0,5.0,2024
Baffle,AI,2016-10-25,2018-01-17,2018-01-17,14.750328515111695,1,SFBA,3000000,1.0,3.0,2016
Banana,AI,2024-02-05,,2024-12-23,10.578186596583443,0,SFBA,3400000,,2.0,2024
Base64,AI,2022-02-25,,2024-12-23,33.90275952693824,0,GNYA,1527000,2.0,9.0,2022
Baseten,AI,2022-04-26,2022-04-26,2022-04-26,0.0,1,SFBA,8000000,1.0,9.0,2022
BeConfident,AI,2024-04-23,,2024-12-23,8.015768725361367,0,SFBA,500000,,11.0,2024
Beam,AI,2022-05-10,,2024-12-23,31.471747700394218,0,GNYA,3500000,,15.0,2022
Bear Robotics,AI,2018-04-25,2020-01-22,2020-01-22,20.92641261498029,1,SFBA,2000000,,1.0,2018
Bee,AI,2024-07-29,,2024-12-23,4.829172141918528,0,SFBA,5500000,,5.0,2024
Beehive AI,AI,2023-06-01,,2024-12-23,18.758212877792378,0,SFBA,5100000,1.0,1.0,2023
Beem,AI,2022-05-02,,2024-12-23,31.734559789750328,0,SFBA,7000000,1.0,14.0,2022
Bench AI,AI,2023-06-20,,2024-12-23,18.134034165571617,0,SFBA,150000,,1.0,2023
BentoML,AI,2023-06-26,,2024-12-23,17.936925098554532,0,SFBA,6000000,1.0,3.0,2023
Bestmile,AI,2017-04-15,2018-03-22,2018-03-22,11.202365308804204,1,SFBA,5500000,3.0,4.0,2017
Besty AI,AI,2024-08-20,,2024-12-23,4.106438896189225,0,GLA,1500000,4.0,3.0,2024
Beta.ai,AI,2021-07-10,,2024-12-23,41.45860709592641,0,SFBA,40274,,,2021
Bettani,AI,2020-09-01,,2024-12-23,51.708278580814714,0,SFBA,7500000,1.0,11.0,2020
BetterHealth.ai,AI,2018-06-01,,2024-12-23,78.74507227332457,0,SFBA,100000,,,2018
