firm_id,sector,seed_date,series_a_date,end_date,time_to_series_a_months,event_series_a,metro_region,seed_amount_usd,num_partner_investors,num_investors_total,seed_year
0xCord,FinTech,2022-04-21,,2024-12-17,31.898817345597895,0,GNYA,25000,,,2022
11th.com,FinTech,2024-05-29,,2024-12-17,6.636005256241787,0,GMA,2000000,2.0,5.0,2024
1Token,FinTech,2018-11-19,2022-06-01,2022-06-01,42.3784494086728,1,GNYA,1440507,,1.0,2018
2EX Technology,FinTech,2022-10-01,,2024-12-17,26.544021024967147,0,SFBA,2000000,,,2022
2nd Wallet,FinTech,2021-08-01,,2024-12-17,40.53876478318003,0,GNYA,90000,,,2021
6figr.com,FinTech,2018-10-05,,2024-12-17,74.40867279894874,0,SFBA,500000,,1.0,2018
8B Education Investments,FinTech,2022-02-25,,2024-12-17,33.70565045992115,0,GNYA,3000000,,5.0,2022
9th Gear,FinTech,2018-05-30,,2024-12-17,78.61366622864651,0,SFBA,2907453,,,2018
AGTools,FinTech,2018-01-25,,2024-12-17,82.72010512483574,0,GLA,500000,1.0,1.0,2018
AIKON,FinTech,2018-03-08,2022-09-29,2022-09-29,54.730617608409986,1,SFBA,2000000,,2.0,2018
AND CO,FinTech,2016-03-28,,2024-12-17,104.66491458607095,0,GNYA,2000000,3.0,8.0,2016
ASSESS+RE,FinTech,2018-04-01,,2024-12-17,80.55190538764784,0,GNYA,2100000,,1.0,2018
Abacum,FinTech,2021-04-08,2021-11-30,2021-11-30,7.752956636005256,1,GNYA,7000000,1.0,12.0,2021
Aballoon,FinTech,2016-10-16,,2024-12-17,98.02890932982916,0,SFBA,75000,,1.0,2016
Able,FinTech,2021-10-28,2022-06-16,2022-06-16,7.588699080157687,1,SFBA,3290000,,14.0,2021
Abound,FinTech,2021-01-28,,2024-12-17,46.61629434954008,0,SFBA,6000000,2.0,1.0,2021
AccrueMe,FinTech,2019-06-10,,2024-12-17,66.26149802890933,0,GNYA,250000,,,2019
Acctual,FinTech,2023-11-29,,2024-12-17,12.614980289093298,0,GNYA,3850000,,11.0,2023
Acquire.com,FinTech,2021-07-06,,2024-12-17,41.39290407358738,0,SFBA,6300000,5.0,72.0,2021
Addition Wealth,FinTech,2022-02-09,,2024-12-17,34.23127463863337,0,GNYA,4200000,,5.0,2022
AdvisorEngine,FinTech,2016-02-22,2016-11-18,2016-11-18,8.869908015768726,1,GNYA,3486522,,,2016
Aeldra,FinTech,2021-09-24,2022-02-05,2022-02-05,4.402102496714849,1,SFBA,2000000,3.0,1.0,2021
Aella,FinTech,2016-11-21,,2024-12-17,96.84625492772668,0,SFBA,150000,,1.0,2016
Afficiency,FinTech,2020-02-10,2022-04-05,2022-04-05,25.78843626806833,1,GNYA,3150000,1.0,1.0,2020
AfterHour,FinTech,2024-06-17,,2024-12-17,6.011826544021025,0,SFBA,4500000,,13.0,2024
Agora,FinTech,2021-05-06,,2024-12-17,43.39684625492772,0,SFBA,7500000,2.0,9.0,2021
Agora Financial Technologies,FinTech,2020-02-27,,2024-12-17,57.65440210249671,0,GNYA,2000000,,1.0,2020
Aiera,FinTech,2018-12-13,2020-02-12,2020-02-12,13.994743758212877,1,GNYA,3500000,1.0,5.0,2018
Airbanq,FinTech,2016-09-07,,2024-12-17,99.31011826544021,0,SFBA,3350000,,4.0,2016
"Akemona, Inc.",FinTech,2019-01-04,,2024-12-17,71.41918528252299,0,SFBA,200000,,1.0,2019
