,quarter_year,year,quarter, deal value ($B) ,mps_shock,fundraising_activity,dry_powder,T10Y2Y,nasdaq_comp_index,cpi,core_cpi,real_gdp,gdp_def
0,2015-Q1,2015,Q1,5.229359058,-0.0662,45.7,84.66,1.38,3.42113,-0.64939,0.34817,0.89645,96.769
1,2015-Q2,2015,Q2,7.623193943,-0.0324,45.7,84.66,1.71,1.73937,0.67963,0.60311,0.61749,97.325
2,2015-Q3,2015,Q3,7.339538532,-0.0616,45.7,84.66,1.42,-7.63791,0.37699,0.49526,0.39945,97.583
3,2015-Q4,2015,Q4,6.333488432,0.0819,45.7,84.66,1.21,8.04895,-0.00757,0.52804,0.18431,97.581
4,2016-Q1,2016,Q1,6.852405474,-0.1054,50.08,99.15,1.05,-2.78557,-0.06211,0.52038,0.57785,97.496
5,2016-Q2,2016,Q2,7.369265142,-0.0215,50.08,99.15,0.91,-0.55969,0.7966,0.65647,0.32061,98.159
6,2016-Q3,2016,Q3,5.885506115,-0.0076,50.08,99.15,0.83,9.25022,0.42358,0.52021,0.70689,98.41
7,2016-Q4,2016,Q4,6.236585903,0.0584,50.08,99.15,1.25,1.32997,0.63278,0.46183,0.55277,98.886
8,2017-Q1,2017,Q1,6.785671139,-0.065,49.69,109.97,1.13,9.36721,0.70128,0.51514,0.48571,99.39
9,2017-Q2,2017,Q2,7.039690272,0.0493,49.69,109.97,0.93,3.79529,0.11531,0.26466,0.55831,99.65
10,2017-Q3,2017,Q3,7.028787368,0.0546,49.69,109.97,0.86,5.62873,0.4769,0.3875,0.78543,100.162
11,2017-Q4,2017,Q4,9.611895644,0.0144,49.69,109.97,0.51,6.08322,0.79238,0.57327,1.12074,100.778
12,2018-Q1,2018,Q1,10.67179811,0.0198,77.91,131.76,0.47,2.29196,0.83911,0.71949,0.81012,101.419
13,2018-Q2,2018,Q2,10.96636081,0.0307,77.91,131.76,0.33,6.13432,0.54293,0.51848,0.52942,102.136
14,2018-Q3,2018,Q3,9.909112132,0.009,77.91,131.76,0.24,6.89432,0.40104,0.36036,0.62176,102.577
15,2018-Q4,2018,Q4,10.51243549,0.0465,77.91,131.76,0.21,-19.28177,0.40629,0.57473,0.14154,103.019
16,2019-Q1,2019,Q1,11.61851522,-0.0466,69.52,142.31,0.14,15.262,0.26662,0.65304,0.62238,103.328
17,2019-Q2,2019,Q2,11.22173183,-0.1167,69.52,142.31,0.25,3.52003,0.73203,0.43732,0.83168,103.862
18,2019-Q3,2019,Q3,12.6325044,0.0502,69.52,142.31,0.05,-0.08634,0.32933,0.58182,1.16321,104.192
19,2019-Q4,2019,Q4,9.794690884,0.0334,69.52,142.31,0.34,11.48177,0.6999,0.62881,0.67956,104.516
20,2020-Q1,2020,Q1,10.40088431,-0.4054,91.76,167.42,0.47,-15.29422,0.35984,0.57609,-1.32506,105.032
21,2020-Q2,2020,Q2,9.424665597,0.008,91.76,167.42,0.5,26.72116,-0.98064,-0.51723,-8.20432,104.614
22,2020-Q3,2020,Q3,11.89089974,0.0179,91.76,167.42,0.56,10.4579,1.13661,0.96608,7.47575,105.572
23,2020-Q4,2020,Q4,14.19066323,0.0153,91.76,167.42,0.8,14.32945,0.7188,0.60507,1.12714,106.23
24,2021-Q1,2021,Q1,17.26635779,0.0069,171.35,209.76,1.58,2.74429,0.98887,0.37195,1.38616,107.583
25,2021-Q2,2021,Q2,21.96643162,0.0342,171.35,209.76,1.2,9.06597,1.83873,1.71366,1.68757,109.258
26,2021-Q3,2021,Q3,21.49290618,0.0183,171.35,209.76,1.24,-0.38249,1.59078,1.28553,0.82167,110.938
27,2021-Q4,2021,Q4,28.84586934,0.0722,171.35,209.76,0.79,7.95533,2.115,1.52806,1.7012,112.847
28,2022-Q1,2022,Q1,23.68624451,0.1405,224.61,267.54,0.04,-9.54635,2.17387,1.61205,-0.25512,115.126
29,2022-Q2,2022,Q2,20.03837762,0.0705,224.61,267.54,0.06,-25.41814,2.36139,1.42745,0.15642,117.728
30,2022-Q3,2022,Q3,14.23934626,0.1447,224.61,267.54,-0.39,-4.19532,1.31369,1.51956,0.71931,119.031
31,2022-Q4,2022,Q4,12.04740133,0.0119,224.61,267.54,-0.53,-1.03736,1.00696,1.24921,0.68787,120.164
32,2023-Q1,2023,Q1,10.97930097,-0.034,103.46,297.74,-0.58,15.50525,0.89825,1.18863,0.72124,121.288
33,2023-Q2,2023,Q2,11.39704295,0.1293,103.46,297.74,-1.06,12.05626,0.73854,1.14475,0.62591,121.92
34,2023-Q3,2023,Q3,9.457854538,0.101,103.46,297.74,-0.44,-4.21135,0.85912,0.73633,1.147,122.914
35,2023-Q4,2023,Q4,8.557372077,,103.46,297.74,-0.35,12.71272,0.68903,0.83751,0.84051,123.405
36,2024-Q1,2024,Q1,11.89025135,,85.67,293.91,-0.39,8.72215,0.90967,1.02669,0.20964,124.374
37,2024-Q2,2024,Q2,19.26807119,,85.67,293.91,-0.35,7.93766,0.67984,0.76667,0.88159,125.167
38,2024-Q3,2024,Q3,12.31392962,,85.67,293.91,0.15,2.54216,0.34658,0.58685,0.8214,125.696
39,2024-Q4,2024,Q4,13.24616014,,85.67,293.91,0.33,5.98376,0.74708,0.82981,0.45882,126.45
40,2025-Q1,2025,Q1,12.84547592,,45.73,311.25,0.34,-10.99985,0.92868,0.85106,-0.16265,127.577
