firm_id,period_start,year,quarter,duration_q,event_seriesA,seed_year,time_to_series_a_months,num_investors_total,seed_date,series_a_date,end_date,event_series_a,seed_amount_usd,diversity_spotlight_flag,num_partner_investors,metro_region,sector,entry_date,shock_25bp_units,nasdaqcom_ccr,t10y2y,shock25_lag1,shock25_lag2,shock25_lag3,shock25_lag4,shock25_lag5
0xCord,2022-04-01,2022,2,0,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,0.282,-25.41814,0.06,,,,,
0xCord,2022-07-01,2022,3,1,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,0.5788,-4.19532,-0.39,0.282,,,,
0xCord,2022-10-01,2022,4,2,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,0.0476,-1.03736,-0.53,0.5788,0.282,,,
0xCord,2023-01-01,2023,1,3,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,-0.136,15.50525,-0.58,0.0476,0.5788,0.282,,
0xCord,2023-04-01,2023,2,4,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,0.5172,12.05626,-1.06,-0.136,0.0476,0.5788,0.282,
0xCord,2023-07-01,2023,3,5,0,2022,31.89881734559789,,2022-04-21,,2024-12-17,0,25000,0,,GNYA,FinTech,2022-04-21,0.404,-4.21135,-0.44,0.5172,-0.136,0.0476,0.5788,0.282
10by10.io,2017-07-01,2017,3,0,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.2184,5.62873,0.86,,,,,
10by10.io,2017-10-01,2017,4,1,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0576,6.08322,0.51,0.2184,,,,
10by10.io,2018-01-01,2018,1,2,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0792,2.29196,0.47,0.0576,0.2184,,,
10by10.io,2018-04-01,2018,2,3,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.1228,6.13432,0.33,0.0792,0.0576,0.2184,,
10by10.io,2018-07-01,2018,3,4,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.036,6.89432,0.24,0.1228,0.0792,0.0576,0.2184,
10by10.io,2018-10-01,2018,4,5,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.186,-19.28177,0.21,0.036,0.1228,0.0792,0.0576,0.2184
10by10.io,2019-01-01,2019,1,6,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,-0.1864,15.262,0.14,0.186,0.036,0.1228,0.0792,0.0576
10by10.io,2019-04-01,2019,2,7,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,-0.4668,3.52003,0.25,-0.1864,0.186,0.036,0.1228,0.0792
10by10.io,2019-07-01,2019,3,8,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.2008,-0.08634,0.05,-0.4668,-0.1864,0.186,0.036,0.1228
10by10.io,2019-10-01,2019,4,9,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.1336,11.48177,0.34,0.2008,-0.4668,-0.1864,0.186,0.036
10by10.io,2020-01-01,2020,1,10,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,-1.6216,-15.29422,0.47,0.1336,0.2008,-0.4668,-0.1864,0.186
10by10.io,2020-04-01,2020,2,11,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.032,26.72116,0.5,-1.6216,0.1336,0.2008,-0.4668,-0.1864
10by10.io,2020-07-01,2020,3,12,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0716,10.4579,0.56,0.032,-1.6216,0.1336,0.2008,-0.4668
10by10.io,2020-10-01,2020,4,13,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0612,14.32945,0.8,0.0716,0.032,-1.6216,0.1336,0.2008
10by10.io,2021-01-01,2021,1,14,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0276,2.74429,1.58,0.0612,0.0716,0.032,-1.6216,0.1336
10by10.io,2021-04-01,2021,2,15,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.1368,9.06597,1.2,0.0276,0.0612,0.0716,0.032,-1.6216
10by10.io,2021-07-01,2021,3,16,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0732,-0.38249,1.24,0.1368,0.0276,0.0612,0.0716,0.032
10by10.io,2021-10-01,2021,4,17,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.2888,7.95533,0.79,0.0732,0.1368,0.0276,0.0612,0.0716
10by10.io,2022-01-01,2022,1,18,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.562,-9.54635,0.04,0.2888,0.0732,0.1368,0.0276,0.0612
10by10.io,2022-04-01,2022,2,19,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.282,-25.41814,0.06,0.562,0.2888,0.0732,0.1368,0.0276
10by10.io,2022-07-01,2022,3,20,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.5788,-4.19532,-0.39,0.282,0.562,0.2888,0.0732,0.1368
10by10.io,2022-10-01,2022,4,21,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.0476,-1.03736,-0.53,0.5788,0.282,0.562,0.2888,0.0732
10by10.io,2023-01-01,2023,1,22,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,-0.136,15.50525,-0.58,0.0476,0.5788,0.282,0.562,0.2888
10by10.io,2023-04-01,2023,2,23,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.5172,12.05626,-1.06,-0.136,0.0476,0.5788,0.282,0.562
10by10.io,2023-07-01,2023,3,24,0,2017,88.04204993429697,1.0,2017-08-22,,2024-12-23,0,120000,1,,SFBA,AI,2017-08-22,0.404,-4.21135,-0.44,0.5172,-0.136,0.0476,0.5788,0.282
1Token,2018-10-01,2018,4,0,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.186,-19.28177,0.21,,,,,
1Token,2019-01-01,2019,1,1,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,-0.1864,15.262,0.14,0.186,,,,
1Token,2019-04-01,2019,2,2,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,-0.4668,3.52003,0.25,-0.1864,0.186,,,
1Token,2019-07-01,2019,3,3,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.2008,-0.08634,0.05,-0.4668,-0.1864,0.186,,
1Token,2019-10-01,2019,4,4,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.1336,11.48177,0.34,0.2008,-0.4668,-0.1864,0.186,
1Token,2020-01-01,2020,1,5,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,-1.6216,-15.29422,0.47,0.1336,0.2008,-0.4668,-0.1864,0.186
1Token,2020-04-01,2020,2,6,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.032,26.72116,0.5,-1.6216,0.1336,0.2008,-0.4668,-0.1864
1Token,2020-07-01,2020,3,7,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.0716,10.4579,0.56,0.032,-1.6216,0.1336,0.2008,-0.4668
1Token,2020-10-01,2020,4,8,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.0612,14.32945,0.8,0.0716,0.032,-1.6216,0.1336,0.2008
1Token,2021-01-01,2021,1,9,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.0276,2.74429,1.58,0.0612,0.0716,0.032,-1.6216,0.1336
1Token,2021-04-01,2021,2,10,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.1368,9.06597,1.2,0.0276,0.0612,0.0716,0.032,-1.6216
1Token,2021-07-01,2021,3,11,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.0732,-0.38249,1.24,0.1368,0.0276,0.0612,0.0716,0.032
1Token,2021-10-01,2021,4,12,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.2888,7.95533,0.79,0.0732,0.1368,0.0276,0.0612,0.0716
1Token,2022-01-01,2022,1,13,0,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.562,-9.54635,0.04,0.2888,0.0732,0.1368,0.0276,0.0612
1Token,2022-04-01,2022,2,14,1,2018,42.3784494086728,1.0,2018-11-19,2022-06-01,2022-06-01,1,1440507,0,,GNYA,FinTech,2018-11-19,0.282,-25.41814,0.06,0.562,0.2888,0.0732,0.1368,0.0276
2B0 (To Be Zero),2020-07-01,2020,3,0,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.0716,10.4579,0.56,,,,,
2B0 (To Be Zero),2020-10-01,2020,4,1,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.0612,14.32945,0.8,0.0716,,,,
2B0 (To Be Zero),2021-01-01,2021,1,2,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.0276,2.74429,1.58,0.0612,0.0716,,,
2B0 (To Be Zero),2021-04-01,2021,2,3,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.1368,9.06597,1.2,0.0276,0.0612,0.0716,,
2B0 (To Be Zero),2021-07-01,2021,3,4,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.0732,-0.38249,1.24,0.1368,0.0276,0.0612,0.0716,
2B0 (To Be Zero),2021-10-01,2021,4,5,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.2888,7.95533,0.79,0.0732,0.1368,0.0276,0.0612,0.0716
2B0 (To Be Zero),2022-01-01,2022,1,6,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.562,-9.54635,0.04,0.2888,0.0732,0.1368,0.0276,0.0612
2B0 (To Be Zero),2022-04-01,2022,2,7,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.282,-25.41814,0.06,0.562,0.2888,0.0732,0.1368,0.0276
2B0 (To Be Zero),2022-07-01,2022,3,8,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.5788,-4.19532,-0.39,0.282,0.562,0.2888,0.0732,0.1368
2B0 (To Be Zero),2022-10-01,2022,4,9,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.0476,-1.03736,-0.53,0.5788,0.282,0.562,0.2888,0.0732
2B0 (To Be Zero),2023-01-01,2023,1,10,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,-0.136,15.50525,-0.58,0.0476,0.5788,0.282,0.562,0.2888
2B0 (To Be Zero),2023-04-01,2023,2,11,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.5172,12.05626,-1.06,-0.136,0.0476,0.5788,0.282,0.562
2B0 (To Be Zero),2023-07-01,2023,3,12,0,2020,53.38370565045992,,2020-07-12,,2024-12-23,0,250000,0,,SFBA,AI,2020-07-12,0.404,-4.21135,-0.44,0.5172,-0.136,0.0476,0.5788,0.282
2EX Technology,2022-10-01,2022,4,0,0,2022,26.544021024967147,,2022-10-01,,2024-12-17,0,2000000,0,,SFBA,FinTech,2022-10-01,0.0476,-1.03736,-0.53,,,,,
2EX Technology,2023-01-01,2023,1,1,0,2022,26.544021024967147,,2022-10-01,,2024-12-17,0,2000000,0,,SFBA,FinTech,2022-10-01,-0.136,15.50525,-0.58,0.0476,,,,
2EX Technology,2023-04-01,2023,2,2,0,2022,26.544021024967147,,2022-10-01,,2024-12-17,0,2000000,0,,SFBA,FinTech,2022-10-01,0.5172,12.05626,-1.06,-0.136,0.0476,,,
2EX Technology,2023-07-01,2023,3,3,0,2022,26.544021024967147,,2022-10-01,,2024-12-17,0,2000000,0,,SFBA,FinTech,2022-10-01,0.404,-4.21135,-0.44,0.5172,-0.136,0.0476,,
2nd Wallet,2021-07-01,2021,3,0,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.0732,-0.38249,1.24,,,,,
2nd Wallet,2021-10-01,2021,4,1,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.2888,7.95533,0.79,0.0732,,,,
2nd Wallet,2022-01-01,2022,1,2,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.562,-9.54635,0.04,0.2888,0.0732,,,
2nd Wallet,2022-04-01,2022,2,3,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.282,-25.41814,0.06,0.562,0.2888,0.0732,,
2nd Wallet,2022-07-01,2022,3,4,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.5788,-4.19532,-0.39,0.282,0.562,0.2888,0.0732,
2nd Wallet,2022-10-01,2022,4,5,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.0476,-1.03736,-0.53,0.5788,0.282,0.562,0.2888,0.0732
2nd Wallet,2023-01-01,2023,1,6,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,-0.136,15.50525,-0.58,0.0476,0.5788,0.282,0.562,0.2888
2nd Wallet,2023-04-01,2023,2,7,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.5172,12.05626,-1.06,-0.136,0.0476,0.5788,0.282,0.562
2nd Wallet,2023-07-01,2023,3,8,0,2021,40.53876478318003,,2021-08-01,,2024-12-17,0,90000,1,,GNYA,FinTech,2021-08-01,0.404,-4.21135,-0.44,0.5172,-0.136,0.0476,0.5788,0.282
310.ai,2023-01-01,2023,1,0,0,2023,23.71879106438896,2.0,2023-01-01,,2024-12-23,0,3700000,0,1.0,SFBA,AI,2023-01-01,-0.136,15.50525,-0.58,,,,,
310.ai,2023-04-01,2023,2,1,0,2023,23.71879106438896,2.0,2023-01-01,,2024-12-23,0,3700000,0,1.0,SFBA,AI,2023-01-01,0.5172,12.05626,-1.06,-0.136,,,,
310.ai,2023-07-01,2023,3,2,0,2023,23.71879106438896,2.0,2023-01-01,,2024-12-23,0,3700000,0,1.0,SFBA,AI,2023-01-01,0.404,-4.21135,-0.44,0.5172,-0.136,,,
3Analytics,2021-01-01,2021,1,0,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.0276,2.74429,1.58,,,,,
3Analytics,2021-04-01,2021,2,1,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.1368,9.06597,1.2,0.0276,,,,
3Analytics,2021-07-01,2021,3,2,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.0732,-0.38249,1.24,0.1368,0.0276,,,
3Analytics,2021-10-01,2021,4,3,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.2888,7.95533,0.79,0.0732,0.1368,0.0276,,
3Analytics,2022-01-01,2022,1,4,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.562,-9.54635,0.04,0.2888,0.0732,0.1368,0.0276,
3Analytics,2022-04-01,2022,2,5,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.282,-25.41814,0.06,0.562,0.2888,0.0732,0.1368,0.0276
3Analytics,2022-07-01,2022,3,6,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.5788,-4.19532,-0.39,0.282,0.562,0.2888,0.0732,0.1368
3Analytics,2022-10-01,2022,4,7,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,0.0476,-1.03736,-0.53,0.5788,0.282,0.562,0.2888,0.0732
3Analytics,2023-01-01,2023,1,8,0,2021,45.893561103810775,,2021-02-25,,2024-12-23,0,474996,0,,SFBA,AI,2021-02-25,-0.136,15.50525,-0.58,0.0476,0.5788,0.282,0.562,0.2888
