Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Seed Round - ROSS Intelligence,https://www.crunchbase.com/funding_round/ross-intelligence-seed--7ce4d29c,"San Francisco, California, United States, North America",ROSS Intelligence,https://www.crunchbase.com/organization/ross-intelligence,Seed,4300000,USD,4300000,2016-01-01,"Black Founded, Hispanic / Latine Founded, Hispanic / Latine Led",1,6,"Hedgewood, Inovia Capital, Nextlaw Labs, Real Ventures, The Family, Y Combinator"
Seed Round - Echo AI,https://www.crunchbase.com/funding_round/pathlight-seed--61b3fff5,"Palo Alto, California, United States, North America",Echo AI,https://www.crunchbase.com/organization/pathlight,Seed,1100000,USD,1100000,2016-01-01,,,12,"Adam Goldstein, Dan Levitan, Darrell Cavens, David Wu, Dylan Smith, Emil Michael, Jack Chou, Jeff Bonforte, Jeremy Stoppelman, Mark Leslie, Matt Humphrey, Tony Bates"
Seed Round - DeepVideo,https://www.crunchbase.com/funding_round/deepvideo-seed--338dc9e2,"Fort Lauderdale, Florida, United States, North America",DeepVideo,https://www.crunchbase.com/organization/deepvideo,Seed,1000000,USD,1000000,2016-01-01,,,,
Seed Round - Browsi,https://www.crunchbase.com/funding_round/browsi-seed--bf609bf7,"New York, New York, United States, North America",Browsi,https://www.crunchbase.com/organization/browsi,Seed,3000000,USD,3000000,2016-01-01,,,2,"Avantis Team, Pitango VC"
Seed Round - ParkWise,https://www.crunchbase.com/funding_round/parkwise-3-seed--22a3e305,"New York, New York, United States, North America",ParkWise,https://www.crunchbase.com/organization/parkwise-3,Seed,600000,USD,600000,2016-01-01,,,,
Seed Round - Quilt Data,https://www.crunchbase.com/funding_round/quilt-data-seed--d6eea431,"San Francisco, California, United States, North America",Quilt Data,https://www.crunchbase.com/organization/quilt-data,Seed,435000,USD,435000,2016-01-05,,1,2,"Streamlined Ventures, Y Combinator"
Seed Round - NotifAi,https://www.crunchbase.com/funding_round/notifai-seed--28e0f7b1,"Aliso Viejo, California, United States, North America",NotifAi,https://www.crunchbase.com/organization/notifai,Seed,200000,USD,200000,2016-01-07,,,,
Seed Round - Chartmetric,https://www.crunchbase.com/funding_round/chartmetric-seed--5f6ebe8e,"San Mateo, California, United States, North America",Chartmetric,https://www.crunchbase.com/organization/chartmetric,Seed,1000000,USD,1000000,2016-01-10,,,,
Seed Round - Constructor,https://www.crunchbase.com/funding_round/constructor-io-seed--ee13bc9d,"San Francisco, California, United States, North America",Constructor,https://www.crunchbase.com/organization/constructor-io,Seed,1100000,USD,1100000,2016-01-26,,2,6,"Adam Riggs, Chris Fischer, Fusion Fund, Jason Davis, S2 Capital, Tikhon Bernstam"
Seed Round - Speak Music,https://www.crunchbase.com/funding_round/speak-music-inc-seed--f16ffc9e,"San Jose, California, United States, North America",Speak Music,https://www.crunchbase.com/organization/speak-music-inc,Seed,2500000,USD,2500000,2016-02-01,,,,
Seed Round - Epilog AI,https://www.crunchbase.com/funding_round/epilog-imaging-seed--1be8ef14,"San Jose, California, United States, North America",Epilog AI,https://www.crunchbase.com/organization/epilog-imaging,Seed,500000,USD,500000,2016-02-01,,,,
Seed Round - Talla,https://www.crunchbase.com/funding_round/talla-seed--f9988a1f,"New York, New York, United States, North America",Talla,https://www.crunchbase.com/organization/talla,Seed,4026848,USD,4026848,2016-02-08,,1,9,"Avalon, Drew Volpe, Hyperplane, LAUNCH, LaunchCapital, Michael Perone, Sravish Sridhar, Stage 1 Ventures, The Syndicate.com"
Seed Round - LiftIgniter,https://www.crunchbase.com/funding_round/liftigniter-seed--70b22e74,"San Francisco, California, United States, North America",LiftIgniter,https://www.crunchbase.com/organization/liftigniter,Seed,50000,USD,50000,2016-02-09,,,1,Princeton Alumni Entrepreneurs Fund
Seed Round - People Data Labs,https://www.crunchbase.com/funding_round/talentiq-seed--a7c4977d,"San Francisco, California, United States, North America",People Data Labs,https://www.crunchbase.com/organization/talentiq,Seed,775000,USD,775000,2016-02-10,,,4,"CSC Upshot, David J. Namdar, E-Merge, Forum Ventures"
Seed Round - Silk Labs,https://www.crunchbase.com/funding_round/silk-labs-seed--bd4cee57,"San Mateo, California, United States, North America",Silk Labs,https://www.crunchbase.com/organization/silk-labs,Seed,2525000,USD,2525000,2016-02-16,,2,7,"500 Global, DoubleRock, Edith Yeung, Harrison Metal, Joshua Schachter, Sparkland Capital, Timothy Lee"
Seed Round - PipeCandy,https://www.crunchbase.com/funding_round/pipecandy-seed--0fc950e4,"San Francisco, California, United States, North America",PipeCandy,https://www.crunchbase.com/organization/pipecandy,Seed,50000,USD,50000,2016-02-16,,,,
Seed Round - Vitagene,https://www.crunchbase.com/funding_round/vitagene-seed--74c25a13,"San Francisco, California, United States, North America",Vitagene,https://www.crunchbase.com/organization/vitagene,Seed,2000000,USD,2000000,2016-02-17,Women Founded,,4,"Illumina, Neil Hunt, S28 Capital, Viking Global Investors"
Seed Round - Inpher.io,https://www.crunchbase.com/funding_round/inpher-io-seed--32785101,"New York, New York, United States, North America",Inpher.io,https://www.crunchbase.com/organization/inpher-io,Seed,1000000,USD,1000000,2016-02-24,,,2,"Alpana Ventures, Polytech Ventures"
Seed Round - Revl,https://www.crunchbase.com/funding_round/revl-seed--ea2e802e,"San Francisco, California, United States, North America",Revl,https://www.crunchbase.com/organization/revl,Seed,3500000,USD,3500000,2016-02-25,"Hispanic / Latine Founded, Hispanic / Latine Led",,6,"Bill Tai, frogVentures, James Lindenbaum, Lars Rasmussen, Ruvento, Y Combinator"
Seed Round - Glowfish IO,https://www.crunchbase.com/funding_round/glowfi-sh-seed--4f1d0f2b,"San Francisco, California, United States, North America",Glowfish IO,https://www.crunchbase.com/organization/glowfi-sh,Seed,50000,USD,50000,2016-02-26,,,2,"Forum Ventures, Right Side Capital Management"
Seed Round - Suki,https://www.crunchbase.com/funding_round/sukihq-seed--1d93bbc5,"Redwood City, California, United States, North America",Suki,https://www.crunchbase.com/organization/sukihq,Seed,5000000,USD,5000000,2016-03-02,,1,3,"Bradley Horowitz, First Round Capital, Venrock"
Seed Round - Ayyeka Technologies,https://www.crunchbase.com/funding_round/ayyeka-seed--9bbc39c2,"New York, New York, United States, North America",Ayyeka Technologies,https://www.crunchbase.com/organization/ayyeka,Seed,2560000,USD,2560000,2016-03-02,,,3,"Darwin Capital, iArgento, Los Angeles Cleantech Incubator"
Seed Round - Shopnostic.com,https://www.crunchbase.com/funding_round/shopnostic-com-seed--de5c74b2,"New York, New York, United States, North America",Shopnostic.com,https://www.crunchbase.com/organization/shopnostic-com,Seed,30000,USD,30000,2016-03-05,,,,
Seed Round - In-App Chat,https://www.crunchbase.com/funding_round/rip-bull-networks-seed--713c0fcf,"San Francisco, California, United States, North America",In-App Chat,https://www.crunchbase.com/organization/rip-bull-networks,Seed,3000000,USD,3000000,2016-03-05,,,,
Seed Round - Volley,https://www.crunchbase.com/funding_round/volley-labs-seed--2ff6cc71,"San Francisco, California, United States, North America",Volley,https://www.crunchbase.com/organization/volley-labs,Seed,2300000,USD,2300000,2016-03-10,,1,9,"Apple, Blackboard, Chan Zuckerberg Initiative, Dropbox, Fresco Capital, Novak Biddle Venture Partners, Reach Capital, Roger Novak, TAL Education Group"
Seed Round - Tekion,https://www.crunchbase.com/funding_round/tekion-seed--ac8db670,"Pleasanton, California, United States, North America",Tekion,https://www.crunchbase.com/organization/tekion,Seed,3100000,USD,3100000,2016-03-11,,2,3,"Anshu Sharma, BluePointe Ventures, Storm Ventures"
Seed Round - ClearGraph,https://www.crunchbase.com/funding_round/argo-seed--fde97657,"Palo Alto, California, United States, North America",ClearGraph,https://www.crunchbase.com/organization/argo,Seed,1500000,USD,1500000,2016-03-11,,1,3,"Greycroft, RRE Ventures, StartX (Stanford-StartX Fund)"
Seed Round - Machinify,https://www.crunchbase.com/funding_round/machinify-seed--e6b96c03,"Palo Alto, California, United States, North America",Machinify,https://www.crunchbase.com/organization/machinify,Seed,2785000,USD,2785000,2016-03-15,,,2,"Battery Ventures, Matrix"
Seed Round - Nextern Systems Corp,https://www.crunchbase.com/funding_round/nexternsystemscorp-seed--f4e37114,"Miami, Florida, United States, North America",Nextern Systems Corp,https://www.crunchbase.com/organization/nexternsystemscorp,Seed,1250000,USD,1250000,2016-03-18,,,,
Seed Round - Netomi,https://www.crunchbase.com/funding_round/netomi-seed--5d66f3af,"San Mateo, California, United States, North America",Netomi,https://www.crunchbase.com/organization/netomi,Seed,2600000,USD,2600000,2016-03-22,,6,15,"Advancit Capital, Bowery Capital, BoxGroup, Chris Wiggins, Demis Hassabis, dunnhumby Ventures, Greg Brockman, Indicator Ventures, MDC Ventures, Mustafa Suleyman, Salesforce Ventures, Sterling Partners, Sterling.VC, Upslope Ventures, Y Combinator"
Seed Round - Salt Security,https://www.crunchbase.com/funding_round/saltsecurity-seed--7515cb35,"Palo Alto, California, United States, North America",Salt Security,https://www.crunchbase.com/organization/saltsecurity,Seed,1000000,USD,1000000,2016-03-22,,,3,"Follow[the]Seed, FoundersX Ventures, Y Combinator"
Seed Round - Deepgram,https://www.crunchbase.com/funding_round/deepgram-seed--c52da69c,"San Francisco, California, United States, North America",Deepgram,https://www.crunchbase.com/organization/deepgram,Seed,120000,USD,120000,2016-03-22,,,2,"Pegasus Tech Ventures, Y Combinator"
