Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Seed Round - Confido Health,https://www.crunchbase.com/funding_round/confido-health-seed--1279b33e,"Jersey City, New Jersey, United States, North America",Confido Health,https://www.crunchbase.com/organization/confido-health,Seed,3000000,USD,3000000,2024-12-19,,3,5,"DeVC, MedMountain Ventures, Operators Studio, Rebellion Ventures, Together Fund"
Seed Round - FINNY,https://www.crunchbase.com/funding_round/finny-6acf-seed--72c2317f,"New York, New York, United States, North America",FINNY,https://www.crunchbase.com/organization/finny-6acf,Seed,4300000,USD,4300000,2024-12-11,Women Founded,2,8,"Crossbeam Venture Partners, Dan Westgarth, Hanover Technology Investment Management, Kunal Kapoor, Liquid 2 Ventures, Maple VC, Tomer London, Y Combinator"
Seed Round - EzDubs,https://www.crunchbase.com/funding_round/ezdubs-seed--12043e9b,"San Francisco, California, United States, North America",EzDubs,https://www.crunchbase.com/organization/ezdubs,Seed,4200000,USD,4200000,2024-12-11,,,,
Seed Round - Lincode,https://www.crunchbase.com/funding_round/lincode-labs-seed--5c652774,"Sunnyvale, California, United States, North America",Lincode,https://www.crunchbase.com/organization/lincode-labs,Seed,4000000,USD,4000000,2024-12-10,Women Founded,1,7,"Accel, Alumni Ventures, Geek Ventures, HL Ventures, Nurture Ventures, Sand Hill Angels, Spotlight Equity"
Seed Round - WaveForms AI,https://www.crunchbase.com/funding_round/waveforms-ai-seed--5e9a07a2,"San Francisco, California, United States, North America",WaveForms AI,https://www.crunchbase.com/organization/waveforms-ai,Seed,40000000,USD,40000000,2024-12-10,,,1,Andreessen Horowitz
Seed Round - Mariana,https://www.crunchbase.com/funding_round/mariana-aa2c-seed--6d5b4d56,"San Jose, California, United States, North America",Mariana,https://www.crunchbase.com/organization/mariana-aa2c,Seed,1645000,USD,1645000,2024-12-06,,,,
Seed Round - FutureSearch,https://www.crunchbase.com/funding_round/varuna-ai-seed--61480baf,"San Bruno, California, United States, North America",FutureSearch,https://www.crunchbase.com/organization/varuna-ai,Seed,6175000,USD,6175000,2024-12-05,,,,
Seed Round - AI or Not,https://www.crunchbase.com/funding_round/ai-or-not-seed--c53ee93b,"Alameda, California, United States, North America",AI or Not,https://www.crunchbase.com/organization/ai-or-not,Seed,5655000,USD,5655000,2024-12-05,,2,3,"Foundation Capital, GTMfund, Plug and Play"
Seed Round - Circlemind,https://www.crunchbase.com/funding_round/circlemind-seed--90621775,"San Francisco, California, United States, North America",Circlemind,https://www.crunchbase.com/organization/circlemind,Seed,500000,USD,500000,2024-12-04,,1,2,"Rebel Fund, Y Combinator"
Seed Round - Cake AI,https://www.crunchbase.com/funding_round/cake-ai-seed--c8f643f8,"New York, New York, United States, North America",Cake AI,https://www.crunchbase.com/organization/cake-ai,Seed,10000000,USD,10000000,2024-12-04,,1,7,"Alumni Ventures, Correlation Ventures, Firestreak Ventures, Friends & Family Capital, Gradient, Neil Sirni, Primary Venture Partners"
Seed Round - Aadi Space,https://www.crunchbase.com/funding_round/aadi-space-seed--ac539c6e,"San Jose, California, United States, North America",Aadi Space,https://www.crunchbase.com/organization/aadi-space,Seed,1000000,USD,1000000,2024-12-03,,,1,ZenithCrest
Seed Round - STYRK AI,https://www.crunchbase.com/funding_round/styrk-ai-seed--eb86b38e,"Fremont, California, United States, North America",STYRK AI,https://www.crunchbase.com/organization/styrk-ai,Seed,2500000,USD,2500000,2024-12-01,,,1,SmartFin Ventures
Seed Round - Tavily,https://www.crunchbase.com/funding_round/tavily-seed--8abfdc93,"New York, New York, United States, North America",Tavily,https://www.crunchbase.com/organization/tavily,Seed,5000000,USD,5000000,2024-12-01,,1,1,Alpha Wave Global
Seed Round - Pine AI,https://www.crunchbase.com/funding_round/pine-ai-seed--36231522,"Palo Alto, California, United States, North America",Pine AI,https://www.crunchbase.com/organization/pine-ai,Seed,5000000,USD,5000000,2024-11-26,,,,
Seed Round - PlayAI,https://www.crunchbase.com/funding_round/play-ht-seed--3e7b622e,"Palo Alto, California, United States, North America",PlayAI,https://www.crunchbase.com/organization/play-ht,Seed,21000000,USD,21000000,2024-11-25,"Middle Eastern / North African Founded, Middle Eastern / North African Led, South Asian Founded, South Asian Led",2,8,"500 Global, Amr Awadallah, Kindred Ventures, Pioneer Fund, Race Capital, Soma Capital, TRAC, Y Combinator"
Seed Round - Amigo AI,https://www.crunchbase.com/funding_round/amigo-ai-seed--25883019,"New York, New York, United States, North America",Amigo AI,https://www.crunchbase.com/organization/amigo-ai,Seed,6300000,USD,6300000,2024-11-21,,7,6,"Coho Deeptech, Comma Capital, General Catalyst, GSV Ventures, Ride Ventures, SV Angel"
Seed Round - Nixtla,https://www.crunchbase.com/funding_round/nixtla-seed--3f7dd9a7,"San Francisco, California, United States, North America",Nixtla,https://www.crunchbase.com/organization/nixtla,Seed,4800000,USD,4800000,2024-11-20,Hispanic / Latine Founded,,1,Energize Capital
Seed Round - Overwatch Data,https://www.crunchbase.com/funding_round/overwatch-data-seed--900e08f2,"Brooklyn, New York, United States, North America",Overwatch Data,https://www.crunchbase.com/organization/overwatch-data,Seed,4300000,USD,4300000,2024-11-15,"Hispanic / Latine Founded, Hispanic / Latine Led",,5,"A-Star, Kadan Capital, New Era Capital Partners, PruVen Capital, Y Combinator"
