Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - Skydio,https://www.crunchbase.com/funding_round/skydio-series-a--59b06aa9,"San Mateo, California, United States, North America",Skydio,https://www.crunchbase.com/organization/skydio,Series A,25000000,USD,25000000.0,1/5/2016,,,4.0,"Accel, Andreessen Horowitz, CAA Ventures, Matt Bellamy"
Series A - Canvs AI,https://www.crunchbase.com/funding_round/mashwork-series-a--9b06c50e,"New York, New York, United States, North America",Canvs AI,https://www.crunchbase.com/organization/mashwork,Series A,5600000,USD,5600000.0,1/21/2016,,6.0,9.0,"Activate Venture Partners, BRaVe Media Ventures, Brave Ventures, KEC Ventures, Ludlow Ventures, Rubicon Venture Capital, Sierra Wasatch Capital, Social Starts, Vayner/RSE"
Series A - Daybreak,https://www.crunchbase.com/funding_round/noodle-analytics-inc-noodle-ai-series-a--a16d4424,"San Francisco, California, United States, North America",Daybreak,https://www.crunchbase.com/organization/noodle-analytics-inc-noodle-ai,Series A,16000000,USD,16000000.0,3/16/2016,Women Founded,,1.0,TPG Growth
Series A - Drive.ai,https://www.crunchbase.com/funding_round/drive-ai-series-a--38d1c380,"Mountain View, California, United States, North America",Drive.ai,https://www.crunchbase.com/organization/drive-ai,Series A,12000000,USD,12000000.0,3/28/2016,Women Founded,1.0,4.0,"InnoSpring Seed Fund, Maniv Mobility, Northern Light Venture Capital, Oriza Ventures"
Series A - Nauto,https://www.crunchbase.com/funding_round/nauto-inc-series-a--2a31c549,"Sunnyvale, California, United States, North America",Nauto,https://www.crunchbase.com/organization/nauto-inc,Series A,12000000,USD,12000000.0,4/13/2016,,1.0,5.0,"DNX Ventures, General Motors Ventures, Index Ventures, Mitsui Global Investment, Playground Global"
Series A - Avanan,https://www.crunchbase.com/funding_round/avanan-series-a--5969cf52,"New York, New York, United States, North America",Avanan,https://www.crunchbase.com/organization/avanan,Series A,14900000,USD,14900000.0,5/17/2016,,1.0,4.0,"Greenfield Cities Holdings, L.P., Magma Venture Partners, StageOne Ventures, TPG Growth"
Series A - Trooly,https://www.crunchbase.com/funding_round/troo-ly-series-a--5e554216,"Los Altos, California, United States, North America",Trooly,https://www.crunchbase.com/organization/troo-ly,Series A,10000000,USD,10000000.0,6/20/2016,,1.0,2.0,"Bain Capital Ventures, Milliways Ventures"
Series A - Amplero,https://www.crunchbase.com/funding_round/amplero-series-a--327d0a62,"New York, New York, United States, North America",Amplero,https://www.crunchbase.com/organization/amplero,Series A,8000000,USD,8000000.0,7/14/2016,Women Founded,2.0,4.0,"Salesforce Ventures, Seven Peaks Ventures, Trilogy Equity Partners, Wildcat Venture Partners"
Series A - OpenWeb,https://www.crunchbase.com/funding_round/spotim-series-a--00513e8f,"New York, New York, United States, North America",OpenWeb,https://www.crunchbase.com/organization/spotim,Series A,13000000,USD,13000000.0,8/3/2016,,1.0,8.0,"AltaIR Capital, Avishai Abrahami, Brian Bedol, Giora Kaplan, James Hilton, Nir Zohar, Norma Investment, Ran Tushia"
Series A - Koko,https://www.crunchbase.com/funding_round/koko-3-series-a--3c7cdaa8,"New York, New York, United States, North America",Koko,https://www.crunchbase.com/organization/koko-3,Series A,2500000,USD,2500000.0,8/9/2016,,,2.0,"Omidyar Network, Union Square Ventures"
Series A - Cyberinc,https://www.crunchbase.com/funding_round/cyberinc-series-a--3cc8090c,"Los Gatos, California, United States, North America",Cyberinc,https://www.crunchbase.com/organization/cyberinc,Series A,5275000,USD,5275000.0,8/15/2016,,2.0,2.0,"Benhamou Global Ventures, Javelin Venture Partners"
Series A - LeapYear Technologies,https://www.crunchbase.com/funding_round/leapyear-technologies-series-a--93fa9b8e,"San Francisco, California, United States, North America",LeapYear Technologies,https://www.crunchbase.com/organization/leapyear-technologies,Series A,12600000,USD,12600000.0,8/24/2016,,1.0,4.0,"Bain Capital Ventures, Dorm Room Fund, Joseph Grundfest, Nyca Partners"
Series A - SigOpt,https://www.crunchbase.com/funding_round/sigopt-series-a--99521f00,"San Francisco, California, United States, North America",SigOpt,https://www.crunchbase.com/organization/sigopt,Series A,6600000,USD,6600000.0,8/24/2016,,,5.0,"Andreessen Horowitz, Blumberg Capital, DCVC, Stanford University, SV Angel"
Series A - Tonal,https://www.crunchbase.com/funding_round/tonal-series-a--79f0aa0c,"San Francisco, California, United States, North America",Tonal,https://www.crunchbase.com/organization/tonal,Series A,12000000,USD,12000000.0,10/1/2016,,,3.0,"Next Play Capital, Rick Marini, Shasta Ventures"
Series A - Zoox,https://www.crunchbase.com/funding_round/zoox-series-a--c6873e7f,"Foster City, California, United States, North America",Zoox,https://www.crunchbase.com/organization/zoox,Series A,200000000,USD,200000000.0,10/4/2016,"Black Led, Women Led",2.0,9.0,"AID Partners Capital, ARCHina Capital Partners, Blackbird Ventures, Composite Capital Management, David Spector, Lux Capital, Thomas Tull, Threshold, Visionnaire Ventures"
Series A - Bonsai,https://www.crunchbase.com/funding_round/bonsai-ai-series-a--31ee8c7f,"Berkeley, California, United States, North America",Bonsai,https://www.crunchbase.com/organization/bonsai-ai,Series A,5700000,USD,5700000.0,11/3/2016,,,3.0,"Forum Ventures, Neu Venture Capital, New Enterprise Associates"
Series A - ObEN,https://www.crunchbase.com/funding_round/oben-series-a--6dd25002,"Pasadena, California, United States, North America",ObEN,https://www.crunchbase.com/organization/oben,Series A,7700000,USD,7700000.0,11/3/2016,,2.0,10.0,"CrestValue, Cybernaut Westlake Partners, Dream Maker Entertainment, E3 Capital Partners, Gordon Cheng, Hertz Lichtenstein & Young, Idealab, Leaguer Venture Capital, NewDo Venture, Third Wave Digital"
Series A - Zoox,https://www.crunchbase.com/funding_round/zoox-series-a--3a9e5f69,"Foster City, California, United States, North America",Zoox,https://www.crunchbase.com/organization/zoox,Series A,50000000,USD,50000000.0,11/8/2016,"Black Led, Women Led",,2.0,"Composite Capital Management, IDG Capital"
Series A - Cape Analytics,https://www.crunchbase.com/funding_round/cape-analytics-series-a--e916b33e,"Palo Alto, California, United States, North America",Cape Analytics,https://www.crunchbase.com/organization/cape-analytics,Series A,14000000,USD,14000000.0,11/10/2016,,3.0,9.0,"DCVC, Dylan Taylor, Formation 8, Khosla Ventures, Lux Capital, Montage Ventures, Plug and Play Insurtech, Promus Ventures, XL Innovate"
Series A - Yewno,https://www.crunchbase.com/funding_round/yewno-series-a--5d06e3a5,"Palo Alto, California, United States, North America",Yewno,https://www.crunchbase.com/organization/yewno,Series A,6500000,USD,6500000.0,11/16/2016,Women Founded,,2.0,"Desmond Shum, Pacific Capital Group"
Series A - Soul Machines,https://www.crunchbase.com/funding_round/soul-machines-series-a--f7552f42,"San Francisco, California, United States, North America",Soul Machines,https://www.crunchbase.com/organization/soul-machines,Series A,7500000,USD,7500000.0,11/22/2016,"East Asian Led, Women Led",1.0,2.0,"Horizon Ventures, ICONIQ Capital"
Series A - Numerai,https://www.crunchbase.com/funding_round/numerai-series-a--464be442,"San Francisco, California, United States, North America",Numerai,https://www.crunchbase.com/organization/numerai,Series A,6000000,USD,6000000.0,12/12/2016,,1.0,5.0,"Eric Ver Ploeg, First Round Capital, Fred Ehrsam, Kenneth Ballenegger, Union Square Ventures"
Series A - EverC,https://www.crunchbase.com/funding_round/evercompliant-series-a--fb433d09,"New York, New York, United States, North America",EverC,https://www.crunchbase.com/organization/evercompliant,Series A,9500000,USD,9500000.0,12/14/2016,,1.0,4.0,"Arbor Ventures, Nyca Partners, Star Farm Ventures, Viola Ventures"
Series A - Hyperscience,https://www.crunchbase.com/funding_round/hyperscience-series-a--ef7f8f70,"New York, New York, United States, North America",Hyperscience,https://www.crunchbase.com/organization/hyperscience,Series A,8000000,USD,8000000.0,12/15/2016,,2.0,2.0,"Felicis, FirstMark"
Series A - Tekion,https://www.crunchbase.com/funding_round/tekion-series-a--b651a381,"Pleasanton, California, United States, North America",Tekion,https://www.crunchbase.com/organization/tekion,Series A,10000000,USD,10000000.0,1/10/2017,,2.0,5.0,"Airbus Ventures, AME Cloud Ventures, Exor Ventures, Index Ventures, Monta Vista Capital"
Series A - Chorus.ai,https://www.crunchbase.com/funding_round/chorus-ai-series-a--7b8268b4,"San Francisco, California, United States, North America",Chorus.ai,https://www.crunchbase.com/organization/chorus-ai,Series A,16000000,USD,16000000.0,2/7/2017,,1.0,2.0,"Emergence Capital, Redpoint"
Series A - InVia Robotics,https://www.crunchbase.com/funding_round/invia-robotics-series-a--259cee34,"Thousand Oaks, California, United States, North America",InVia Robotics,https://www.crunchbase.com/organization/invia-robotics,Series A,9000000,USD,9000000.0,2/13/2017,,,2.0,"Embark Ventures, Upfront Ventures"
Series A - Pypestream,https://www.crunchbase.com/funding_round/pypestream-series-a--08594c8f,"New York, New York, United States, North America",Pypestream,https://www.crunchbase.com/organization/pypestream,Series A,15000000,USD,15000000.0,2/28/2017,,,3.0,"Plug and Play Insurtech, Richard Braddock, The Chatterjee Group"
Series A - Conversion Logic,https://www.crunchbase.com/funding_round/conversion-logic-series-a--4a9612c8,"Los Angeles, California, United States, North America",Conversion Logic,https://www.crunchbase.com/organization/conversion-logic,Series A,9000000,USD,9000000.0,3/8/2017,Women Founded,3.0,9.0,"Bonfire Ventures, Crosscut Ventures, Fantail Ventures, Founder Collective, Lerer Hippeau, Pelion Venture Partners, Revel Partners, Rincon Venture Partners, TenOneTen Ventures"
Series A - Astro Technology,https://www.crunchbase.com/funding_round/astro-technology-series-a--b74afe94,"Palo Alto, California, United States, North America",Astro Technology,https://www.crunchbase.com/organization/astro-technology,Series A,10000000,USD,10000000.0,3/9/2017,,2.0,5.0,"Aspect Ventures, Harrison Metal, Redpoint, Upside Partnership, Volt Ventures"
Series A - ObEN,https://www.crunchbase.com/funding_round/oben-series-a--5da76ade,"Pasadena, California, United States, North America",ObEN,https://www.crunchbase.com/organization/oben,Series A,1000000,USD,1000000.0,3/14/2017,,,1.0,SBVA
Series A - Theta EdgeCloud,https://www.crunchbase.com/funding_round/sliver-tv-series-a--5c093df8,"San Jose, California, United States, North America",Theta EdgeCloud,https://www.crunchbase.com/organization/sliver-tv,Series A,16000000,USD,16000000.0,3/17/2017,,2.0,7.0,"1745 Ventures, DHVC, Samsung NEXT, Sierra Ventures, Sparkland Capital, The Venture Reality Fund/VRF, Zhiping Capital"
Series A - TextRecruit,https://www.crunchbase.com/funding_round/textrecruit-series-a--691eab4d,"San Jose, California, United States, North America",TextRecruit,https://www.crunchbase.com/organization/textrecruit,Series A,3000000,USD,3000000.0,3/21/2017,,,6.0,"Ben Davenport, Julia Popowitz, Sarah Imbach, SignalFire, Steven Baker, Tom Friel"
