Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Seed Round - Union Realtime LLC,https://www.crunchbase.com/funding_round/union-realtime-llc-2-seed--38bf2daa,"New York, New York, United States, North America",Union Realtime LLC,https://www.crunchbase.com/organization/union-realtime-llc-2,Seed,215000,USD,215000,2016-01-01,Yes,Less than $1M,https://www.unionrealtime.com,,,
Seed Round - EvoShare,https://www.crunchbase.com/funding_round/evoshare-seed--c5c01ad7,"Berkeley, California, United States, North America",EvoShare,https://www.crunchbase.com/organization/evoshare,Seed,400000,USD,400000,2016-01-01,Yes,Less than $1M,https://evoshare.com/index,,,
Seed Round - VoltCash,https://www.crunchbase.com/funding_round/voltcash-seed--82fd3c99,"Miami, Florida, United States, North America",VoltCash,https://www.crunchbase.com/organization/voltcash,Seed,8000000,USD,8000000,2016-01-01,Yes,$1M to $10M,https://voltcash.com,,,
Seed Round - Juniper Square,https://www.crunchbase.com/funding_round/juniper-square-seed--2cdd6319,"San Francisco, California, United States, North America",Juniper Square,https://www.crunchbase.com/organization/juniper-square,Seed,2000000,USD,2000000,2016-01-01,Yes,$10M to $50M,https://www.junipersquare.com,Black Founded,,6.0
Seed Round - Goalsetter,https://www.crunchbase.com/funding_round/goalsetter-seed--c0fa4691,"Brooklyn, New York, United States, North America",Goalsetter,https://www.crunchbase.com/organization/goalsetter,Seed,507500,USD,507500,2016-01-01,Yes,$1M to $10M,http://www.goalsetter.co,"Black Founded, Women Founded, Women Led",,1.0
Seed Round - SharkPay,https://www.crunchbase.com/funding_round/sharkpay-seed--59d6a20b,"Santa Clara, California, United States, North America",SharkPay,https://www.crunchbase.com/organization/sharkpay,Seed,3000000,USD,3000000,2016-01-15,Yes,$1M to $10M,http://sharkpay.io,,,1.0
Seed Round - Jetty,https://www.crunchbase.com/funding_round/jettyfinancial-seed--48d81226,"New York, New York, United States, North America",Jetty,https://www.crunchbase.com/organization/jettyfinancial,Seed,4000000,USD,4000000,2016-01-16,Yes,$1M to $10M,http://www.jetty.com,,,6.0
Seed Round - MovoCash,https://www.crunchbase.com/funding_round/movocash-inc-seed--554cfb95,"Palo Alto, California, United States, North America",MovoCash,https://www.crunchbase.com/organization/movocash-inc,Seed,700000,USD,700000,2016-01-31,Yes,$1M to $10M,https://movo.cash/,,,3.0
Seed Round - Banki,https://www.crunchbase.com/funding_round/banki-seed--c14538ab,"New City, New York, United States, North America",Banki,https://www.crunchbase.com/organization/banki,Seed,15000,USD,15000,2016-02-01,Yes,,http://banki.io,Women Founded,,
Seed Round - GlossGenius,https://www.crunchbase.com/funding_round/glossgenuis-seed--bffa7372,"New York, New York, United States, North America",GlossGenius,https://www.crunchbase.com/organization/glossgenuis,Seed,1000000,USD,1000000,2016-02-01,Yes,$1M to $10M,https://glossgenius.com,"Women Founded, Women Led",,1.0
Seed Round - Fit Pay,https://www.crunchbase.com/funding_round/fit-pay-seed--fe37fe1d,"San Francisco, California, United States, North America",Fit Pay,https://www.crunchbase.com/organization/fit-pay,Seed,3100000,USD,3100000,2016-02-04,Yes,$1M to $10M,http://www.fit-pay.com/,,,2.0
Seed Round - Stash,https://www.crunchbase.com/funding_round/stash-5-seed--e893b031,"New York, New York, United States, North America",Stash,https://www.crunchbase.com/organization/stash-5,Seed,3000000,USD,3000000,2016-02-09,Yes,$100M to $500M,http://www.stash.com,,5.0,3.0
Seed Round - Float,https://www.crunchbase.com/funding_round/float-4-seed--8bbcdc25,"Los Angeles, California, United States, North America",Float,https://www.crunchbase.com/organization/float-4,Seed,1500000,USD,1500000,2016-02-09,Yes,$1M to $10M,https://openloansdirect.com,Black Founded,,3.0
Seed Round - RealKey,https://www.crunchbase.com/funding_round/realkey-seed--28a170d0,"San Francisco, California, United States, North America",RealKey,https://www.crunchbase.com/organization/realkey,Seed,3500000,USD,3500000,2016-02-15,Yes,$1M to $10M,https://www.RealKey.com,,,32.0
Seed Round - Chainalysis,https://www.crunchbase.com/funding_round/chainalysis-seed--16227cf6,"New York, New York, United States, North America",Chainalysis,https://www.crunchbase.com/organization/chainalysis,Seed,1600000,USD,1600000,2016-02-19,Yes,$100M to $500M,https://chainalysis.com,,2.0,6.0
Seed Round - Quadient Accounts Receivable by YayPay,https://www.crunchbase.com/funding_round/yaypay-inc-seed--0755a77f,"New York, New York, United States, North America",Quadient Accounts Receivable by YayPay,https://www.crunchbase.com/organization/yaypay-inc,Seed,120000,USD,120000,2016-02-22,Yes,Less than $1M,https://www.quadient.com/en/ar-automation,,,1.0
Seed Round - AdvisorEngine,https://www.crunchbase.com/funding_round/vanare-seed--6952020a,"New York, New York, United States, North America",AdvisorEngine,https://www.crunchbase.com/organization/vanare,Seed,3486522,USD,3486522,2016-02-22,Yes,$1M to $10M,http://www.advisorengine.com,,,
Seed Round - Kard,https://www.crunchbase.com/funding_round/kard-seed--18934a83,"New York, New York, United States, North America",Kard,https://www.crunchbase.com/organization/kard,Seed,1200000,USD,1200000,2016-02-23,Yes,$1M to $10M,http://www.getkard.com,,,1.0
Seed Round - Human Interest,https://www.crunchbase.com/funding_round/humaninterest-seed--5cef3134,"San Francisco, California, United States, North America",Human Interest,https://www.crunchbase.com/organization/humaninterest,Seed,3600000,USD,3600000,2016-02-24,Yes,$50M to $100M,https://humaninterest.com,,3.0,9.0
Seed Round - String Labs,https://www.crunchbase.com/funding_round/string-labs-seed--c8b32e92,"Palo Alto, California, United States, North America",String Labs,https://www.crunchbase.com/organization/string-labs,Seed,4099999,USD,4099999,2016-03-01,Yes,$1M to $10M,http://string.technology,,,1.0
Seed Round - Coin Out,https://www.crunchbase.com/funding_round/coin-out-inc-seed--bee857b4,"New York, New York, United States, North America",Coin Out,https://www.crunchbase.com/organization/coin-out-inc,Seed,650000,USD,650000,2016-03-01,Yes,Less than $1M,http://www.coinout.com,,,1.0
