quarter_year,mps_shock
2014-Q1,0.0339
2014-Q2,0.0283
2014-Q3,0.0273
2014-Q4,-0.0199
2015-Q1,-0.0662
2015-Q2,-0.0324
2015-Q3,-0.0616
2015-Q4,0.0819
2016-Q1,-0.1054
2016-Q2,-0.0215
2016-Q3,-0.0076
2016-Q4,0.0584
2017-Q1,-0.065
2017-Q2,0.0493
2017-Q3,0.0546
2017-Q4,0.0144
2018-Q1,0.0198
2018-Q2,0.0307
2018-Q3,0.009
2018-Q4,0.0465
2019-Q1,-0.0466
2019-Q2,-0.1167
2019-Q3,0.0502
2019-Q4,0.0334
2020-Q1,-0.4054
2020-Q2,0.008
2020-Q3,0.0179
2020-Q4,0.0153
2021-Q1,0.0069
2021-Q2,0.0342
2021-Q3,0.0183
2021-Q4,0.0722
2022-Q1,0.1405
2022-Q2,0.0705
2022-Q3,0.1447
2022-Q4,0.0119
2023-Q1,-0.034
2023-Q2,0.1293
2023-Q3,0.101
